,Ticker,Name,Market Cap,Sector,Beta
11572,OMMSF,Omineca Mining and Metals Ltd,16.390427,Metals & Mining,0.74036
11573,RMRHF,Rand Merchant Investment Holdings Ltd,4207055.1045,Insurance,0.7207
11574,INOD,Innodata Inc,172.85613953460972,Technology,1.9022
11575,CRTD,Creatd Inc,21.95304832173913,Media,1.02105
11576,GEHDY,Great Eastern Holdings Ltd,9508.980013,Insurance,0.70122
11577,PLOW,Douglas Dynamics Inc,714.9834122750859,Machinery,0.89697
11578,FFLWF,Fire & Flower Holdings Corp,133.128688,Retail,2.52165
11579,SAGXF,Sagax AB,89722.77,Real Estate,0.76781
11580,SSHPF,Vow ASA,2840.77605,Commercial Services & Supplies,1.34863
11581,SNROF,Sanrio Co Ltd,207768.24765,Retail,0.76932
11582,PTMGF,Platinum Asset Management Ltd,1030.016257,Financial Services,1.28974
11583,KMDHF,Komeda Holdings Co Ltd,104974.365234,"Hotels, Restaurants & Leisure",0.71177
11584,SSNT,SilverSun Technologies Inc,14.58674195348837,Technology,1.40216
11585,CLRO,Clearone Inc,13.86623273194666,Communications,1.32946
11586,TAIPY,Taisho Pharmaceutical Holdings Co Ltd,398050.105171,Pharmaceuticals,0.91026
11587,LUNMF,Lundin Mining Corp,8928.223451,Metals & Mining,1.6238
11588,STSC,Start Scientific Inc,5.71,Energy ,5.16609
11589,SSYNF,Sensyne Health PLC,1.6646430000000003,Health Care,0.05759
11590,PDLMF,Petra Diamonds Ltd,225.27406100000005,Metals & Mining,2.48114
11591,OTCM,OTC Markets Group Inc,664.6350203114755,Financial Services,0.70479
11592,TME,Tencent Music Entertainment Group,6952.7671,Media,1.11245
11593,SA,Seabridge Gold Inc,1550.409361,Metals & Mining,0.72932
11594,TOEYF,Toro Energy Ltd,70.152158,Energy ,1.27344
11595,TTTPF,Tremor International Ltd,766.0819050000001,Media,1.78188
11596,SCWTF,Schweiter Technologies AG,1380.262907,Building,1.03986
11597,IMHDF,Isetan Mitsukoshi Holdings Ltd,423511.035461,Retail,1.30662
11598,PLNT,Planet Fitness Inc,6495.238019100779,"Hotels, Restaurants & Leisure",1.17193
11599,BGAVF,Bravada Gold Corp,3.675493,Metals & Mining,1.13389
11600,IRCWF,IRC Ltd,1561.93715,Metals & Mining,3.23318
11601,TDBOF,Toyota Boshoku Corp,404564.719009,Auto Components,1.03699
11602,LQRCF,Black Mammoth Metals Corp,1.970762,Metals & Mining,2.22609
11603,ASMLF,ASML Holding NV,215908.039142,Semiconductors,1.36299
11604,LTHHF,Lithium Power International Ltd,172.826696,Metals & Mining,1.59381
11605,CKHGY,Capitec Bank Holdings Ltd,24930120.474,Banking,0.56773
11606,WRDEF,Wereldhave NV,619.525978,Real Estate,1.64258
11607,CZR,Caesars Entertainment Inc,10846.926189608637,"Hotels, Restaurants & Leisure",2.80697
11608,BCO,Brinks Co,2886.2795921980273,Commercial Services & Supplies,1.48749
11609,SMTEF,Smart Eye AB (publ),1611.314369,Electrical Equipment,1.29366
11610,GOTRF,Goliath Resources Ltd,72.392057,Metals & Mining,2.34528
11611,TPL,Texas Pacific Land Corp,12989.523003222866,Energy ,2.08237
11612,TSBK,Timberland Bancorp Inc,213.04444230055873,Financial Services,1.15513
11613,YLDGY,Yanlord Land Group Ltd,2086.0583150000007,Real Estate,0.89978
11614,MGAFF,Mega Uranium Ltd,90.929335,Energy ,1.14916
11615,FRTAY,freenet AG,2942.177657,Telecommunication,0.85102
11616,PHURF,Poh Huat Resources Holdings Bhd,402.757922,Consumer products,0.90674
11617,AVHHL,AVITA Medical Inc,139.25213561821366,Biotechnology,1.23803
11618,PRISY,Promotora de Informaciones SA,410.023278,Media,1.20571
11619,RLMD,Relmada Therapeutics Inc,581.5214020975347,Pharmaceuticals,0.53213
11620,ICRD,International Card Establishment Inc,0.01,Technology,7.26507
11621,FHB,First Hawaiian Inc,3282.23432915678,Banking,1.11836
11622,UFCS,United Fire Group Inc,813.5992514886711,Insurance,0.09167
11623,HRKKF,Revolution Co Ltd,7599.93042,Consumer products,1.68053
11624,LGNZZ,Ligand Pharmaceuticals Inc,1431.8649051215777,Biotechnology,1.22769
11625,WABC,Westamerica Bancorp,1602.8980129650697,Banking,0.57422
11626,NCHEY,Nichirei Corp,301361.212311,Food Products,0.19389
11627,GPTGF,GPT Group,9118.148827,Real Estate,1.19392
11628,PTCXF,Wilmar Cahaya Indonesia Tbk PT,1558900.0,Food Products,0.83833
11629,CAUUF,Centaur Media PLC,68.77707500000001,Media,1.27201
11630,ENBP,ENB Financial Corp,111.064322,Banking,0.24654
11631,USSHF,Uniserve Communications Corp,10.870737,Telecommunication,2.26254
11632,MPLXP,MPLX LP,33391.39589723433,Energy ,1.56128
11633,QZMRF,Quartz Mountain Resources Ltd,10.95116,Metals & Mining,1.33123
11634,BNTGY,Brenntag SE,11210.519623,Trading Companies & Distributors,1.05505
11635,CGASY,China Resources Gas Group Ltd,75758.403705,Utilities,0.27562
11636,OMHLF,OM Holdings Ltd,629.870227,Metals & Mining,0.99027
11637,ICTSF,Icts International NV,326.41863353367876,Transportation Infrastructure,0.77789
11638,AGUNF,Arctic Glacier Income Fund,1.75,Food Products,-0.40434
11639,FZRO,FlashZero Corp,0.68,Media,1.34969
11640,ARZGF,Assicurazioni Generali SpA,26604.090938,Insurance,1.0124
11641,ARTTF,Artemis Resources Ltd,45.814925,Metals & Mining,1.34415
11642,GODYF,First Tellurium Corp,11.568658,Metals & Mining,0.59595
11643,GASS,StealthGas Inc,127.5952814113924,Energy ,1.18546
11644,CBUDY,Cashbuild Ltd,645337.7961,Retail,0.86337
11645,KOF,Coca-Cola Femsa SAB de CV,235647.86,Beverages,0.52243
11646,NETWF,Network Media Group Inc,7.129883,Media,0.64824
11647,TVPC,Twin Vee Powercats Inc,15.55,Leisure Products,-0.17088
11648,SGQRF,SouthGobi Resources Ltd,52.094059,Energy ,-1.70597
11649,FGFPP,FG Financial Group Inc,18.14784146497535,Insurance,0.50202
11650,CB,Chubb Ltd,88356.53243244618,Insurance,0.74045
11651,KRO,Kronos Worldwide Inc,2193.770927078021,Chemicals,1.1083
11652,HYSNF,Hysan Development Co Ltd,24468.634644,Real Estate,1.03688
11653,PTBS,Potomac Bancshares Inc,74.41,Banking,0.53945
11654,JPM,JPMorgan Chase & Co,382286.4979097249,Banking,1.10941
11655,FMCKI,Federal Home Loan Mortgage Corp,471.2931697962445,Financial Services,1.98288
11656,ANPCF,Angle PLC,326.700667,Health Care,1.2511
11657,IVBIY,Innovent Biologics Inc,35633.436418,Biotechnology,0.46965
11658,ZONNF,NOS SGPS SA,2019.432637,Telecommunication,0.70768
11659,GLGLF,Glg Life Tech Corp,3.263509,Food Products,1.07131
11660,CPSDF,CSI Properties Ltd,1696.226952,Real Estate,1.16853
11661,GPGNF,Grupo Gigante SAB de CV,27838.350586,Retail,1.00487
11662,DUKB,Duke Energy Corp,85582.01956816782,Utilities,0.33447
11663,MIUFF,Mitsubishi HC Capital Inc,895812.251953,Financial Services,1.20795
11664,EKNL,Eko International Corp,0.32,Commercial Services & Supplies,2.46986
11665,KHJCF,Kohnan Shoji Co Ltd,117361.522379,Retail,0.56329
11666,HRTX,Heron Therapeutics Inc,307.43873249999996,Biotechnology,1.3904
11667,XPRO,Expro Group Holdings NV,1546.2321641836586,,1.18935
11668,FPLSF,5N Plus Inc,141.328371,Chemicals,1.24762
11669,GOFPY,Greek Organisation of Football Prognostics SA,4945.965437,"Hotels, Restaurants & Leisure",0.99195
11670,CLWY,Calloway's Nursery Inc,112.03,Retail,0.88971
11671,CBBHF,Cobalt Blue Holdings Ltd,253.437591,Metals & Mining,1.11765
11672,UILCY,Singapore Land Group Ltd,3653.301696,Real Estate,0.73656
11673,BRLAF,British Land Company PLC,4830.710480000002,Real Estate,1.71614
11674,OKASY,Onward Holdings Co Ltd,37026.791382,"Textiles, Apparel & Luxury Goods",1.21786
11675,CPRI,Capri Holdings Ltd,7336.479309608563,"Textiles, Apparel & Luxury Goods",2.29997
11676,EBF,Ennis Inc,465.072123084577,Commercial Services & Supplies,0.50197
11677,ODC,Oil-Dri Corporation of America,168.95800754016736,Consumer products,0.56016
11678,HNNA,Hennessy Advisors Inc,77.4198692240543,Financial Services,0.95814
11679,ABMT,Advanced Biomedical Technologies Inc,0.78,Health Care,-0.74604
11680,AFCJF,AFC Ajax NV,231.000004,Media,0.54488
11681,IQ,iQIYI Inc,3455.515859,Media,0.88182
11682,MTRJF,MTR Corp Ltd,261113.14349,Road & Rail,0.61241
11683,NOKPF,Nok Airlines PCL,3871.6,Airlines,1.92721
11684,CNPOF,RIV Capital Inc,106.833572,Financial Services,1.86228
11685,GXYEF,Galaxy Entertainment Group Ltd,179967.569918,"Hotels, Restaurants & Leisure",1.37469
